ticker,Date,SplitRatio
603501.SS,2022-07-28 00:00:00+08:00,1.35
603556.SS,2018-06-19 00:00:00+08:00,1.3
603979.SS,2016-07-18 00:00:00+08:00,1.2
603979.SS,2017-07-14 00:00:00+08:00,1.3
6409.TW,2013-06-25 00:00:00+08:00,1.05
6409.TW,2014-08-25 00:00:00+08:00,1.05
6409.TW,2015-08-25 00:00:00+08:00,1.0500209999999999
6409.TW,2016-08-24 00:00:00+08:00,1.050012
6409.TW,2019-09-02 00:00:00+08:00,1.05
6409.TW,2020-09-16 00:00:00+08:00,1.050017
6415.TW,2014-07-22 00:00:00+08:00,1.1983499999999998
6415.TW,2022-07-06 00:00:00+08:00,4.0
6415.TW,2022-07-12 00:00:00+08:00,4.0
6415.TW,2022-07-13 00:00:00+08:00,4.0
688036.SS,2024-06-07 00:00:00+08:00,1.4
688188.SS,2022-05-26 00:00:00+08:00,1.4
688188.SS,2024-05-17 00:00:00+08:00,1.4
688188.SS,2025-06-09 00:00:00+08:00,1.4
688789.SS,2023-06-02 00:00:00+08:00,1.45
688789.SS,2024-07-19 00:00:00+08:00,1.49
AAPL,1987-06-16 00:00:00-04:00,2.0
AAPL,2000-06-21 00:00:00-04:00,2.0
AAPL,2005-02-28 00:00:00-05:00,2.0
AAPL,2014-06-09 00:00:00-04:00,7.0
AAPL,2020-08-31 00:00:00-04:00,4.0
ADDYY,2006-06-13 00:00:00-04:00,4.0
AMAT,1980-04-02 00:00:00-05:00,1.5
AMAT,1981-02-06 00:00:00-05:00,1.5
AMAT,1986-05-16 00:00:00-04:00,2.0
AMAT,1992-04-07 00:00:00-04:00,2.0
AMAT,1993-10-06 00:00:00-04:00,2.0
AMAT,1995-10-13 00:00:00-04:00,2.0
AMAT,1997-10-14 00:00:00-04:00,2.0
AMAT,2000-03-16 00:00:00-05:00,2.0
AMAT,2002-04-17 00:00:00-04:00,2.0
AMC,2023-08-24 00:00:00-04:00,0.1
AMD,1980-10-24 00:00:00-04:00,2.0
AMD,1982-10-28 00:00:00-04:00,1.5
AMD,1983-08-23 00:00:00-04:00,2.0
AMD,2000-08-22 00:00:00-04:00,2.0
AMGN,1990-08-13 00:00:00-04:00,2.0
AMGN,1991-09-11 00:00:00-04:00,3.0
AMGN,1995-08-16 00:00:00-04:00,2.0
AMGN,1999-03-01 00:00:00-05:00,2.0
AMGN,1999-11-22 00:00:00-05:00,2.0
AMLP,2020-05-18 00:00:00-04:00,0.2
